YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600018504,260.67689294,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018509,62.467137942,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018518,36.209745495,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018526,177.47319807,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2016,201600018528,157.67224566,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018535,260.67689294,3,2,1,1,1,2,2,1,3,1,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018545,177.47319807,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2016,201600018548,260.67689294,3,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2016,201600018554,166.84760409,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2016,201600018567,577.06260139,3,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018569,364.43637679,3,2,1,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018572,22.291251188,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018576,577.06260139,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018582,33.564791216,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018587,33.564791216,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600018592,348.32450652,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018605,33.564791216,4,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018610,456.08245059,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018619,33.564791216,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018620,577.06260139,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018625,157.24939976,3,1,1,2,2,5,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018628,260.67689294,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018632,36.209745495,2,1,1,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2016,201600018633,177.47319807,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1
2016,201600018637,177.47319807,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
